Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rupees,selling_price_rupees,savings,discount_category,stock_status,price_category,weight_category,quantity_category,sku_id
Fruits & Vegetables,Onion,2500,16,3,2100,1000,False,1,25.0,21.0,4.0,Medium Discount,Low Stock,Budget,Heavy,Single,1
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,False,1,42.0,35.0,7.0,Medium Discount,Low Stock,Budget,Heavy,Single,2
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,False,1,51.0,43.0,8.0,Medium Discount,Low Stock,Budget,Light,Single,3
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,False,100,20.0,17.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,4
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,False,250,14.0,12.0,2.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,5
Fruits & Vegetables,Potato,3500,17,3,2900,1000,False,1,35.0,29.0,6.0,Medium Discount,Low Stock,Budget,Heavy,Single,6
Fruits & Vegetables,Lemon,7500,16,3,6300,200,False,200,75.0,63.0,12.0,Medium Discount,Low Stock,Affordable,Light,Bulk Pack,7
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,False,1,58.0,49.0,9.0,Medium Discount,Low Stock,Budget,Light,Single,8
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,False,250,23.0,19.0,4.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,9
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,False,100,19.0,16.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,10
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,False,6,29.0,24.0,5.0,Medium Discount,Low Stock,Budget,Medium,Large Pack,11
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,False,100,11.0,9.0,2.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,12
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,False,1,26.0,22.0,4.0,Medium Discount,Low Stock,Budget,Light,Single,13
Fruits & Vegetables,Ginger,1400,14,3,1200,200,False,200,14.0,12.0,2.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,14
Fruits & Vegetables,Spinach,1900,15,3,1600,250,False,250,19.0,16.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,15
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,False,1,42.0,35.0,7.0,Medium Discount,Low Stock,Budget,Light,Single,16
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,False,1,15.0,13.0,2.0,Medium Discount,Low Stock,Budget,Light,Single,17
Fruits & Vegetables,Methi,3000,16,3,2500,250,False,250,30.0,25.0,5.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,18
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,False,500,36.0,30.0,6.0,Medium Discount,Low Stock,Budget,Medium,Bulk Pack,19
Fruits & Vegetables,Sapota,3000,16,3,2500,348,False,6,30.0,25.0,5.0,Medium Discount,Low Stock,Budget,Medium,Large Pack,20
Fruits & Vegetables,Onion,6800,16,3,5700,3000,False,3,68.0,57.0,11.0,Medium Discount,Low Stock,Affordable,Bulk,Small Pack,21
Fruits & Vegetables,Potato,10000,16,3,8400,3000,False,3,100.0,84.0,16.0,Medium Discount,Low Stock,Affordable,Bulk,Small Pack,22
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,False,4,82.0,69.0,13.0,Medium Discount,Low Stock,Affordable,Light,Medium Pack,23
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,False,100,11.0,9.0,2.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,24
Fruits & Vegetables,Beans French,3300,15,3,2800,250,False,250,33.0,28.0,5.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,25
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,False,1,26.0,22.0,4.0,Medium Discount,Low Stock,Budget,Light,Single,26
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,False,6,58.0,49.0,9.0,Medium Discount,Low Stock,Budget,Medium,Large Pack,27
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,False,1,36.0,30.0,6.0,Medium Discount,Low Stock,Budget,Light,Single,28
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,False,50,13.0,11.0,2.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,29
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,False,1,19.0,16.0,3.0,Medium Discount,Low Stock,Budget,Light,Single,30
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,False,250,25.0,21.0,4.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,31
Fruits & Vegetables,Papaya,5400,16,3,4500,58,False,1,54.0,45.0,9.0,Medium Discount,Low Stock,Budget,Light,Single,32
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,False,4,142.0,119.0,23.0,Medium Discount,Low Stock,Affordable,Light,Medium Pack,33
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,False,250,18.0,15.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,34
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,False,250,18.0,15.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,35
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,False,2,36.0,30.0,6.0,Medium Discount,Low Stock,Budget,Light,Small Pack,36
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,False,250,18.0,15.0,3.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,37
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,False,2,118.0,99.0,19.0,Medium Discount,Low Stock,Affordable,Light,Small Pack,38
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,False,2,106.0,89.0,17.0,Medium Discount,Low Stock,Affordable,Light,Small Pack,39
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,False,2,30.0,25.0,5.0,Medium Discount,Low Stock,Budget,Light,Small Pack,40
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,False,500,19.0,16.0,3.0,Medium Discount,Low Stock,Budget,Medium,Bulk Pack,41
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,False,250,32.0,27.0,5.0,Medium Discount,Low Stock,Budget,Light,Bulk Pack,42
Fruits & Vegetables,Guava,5400,16,3,4500,232,False,4,54.0,45.0,9.0,Medium Discount,Low Stock,Budget,Light,Medium Pack,43
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,False,4,177.0,149.0,28.0,Medium Discount,Low Stock,Affordable,Light,Medium Pack,44
